"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"26.02.2024","22,05","21,80","22,09","21,63","","-2,52%"
"23.02.2024","22,62","22,70","23,08","22,56","25,66K","-0,92%"
"22.02.2024","22,83","22,77","22,95","22,11","41,18K","0,26%"
"21.02.2024","22,77","22,78","22,93","22,47","26,87K","0,09%"
"20.02.2024","22,75","23,00","23,00","22,49","46,77K","-1,43%"
"16.02.2024","23,08","22,85","23,39","22,71","51,98K","1,14%"
"15.02.2024","22,82","23,37","23,38","22,75","106,66K","-2,35%"
"14.02.2024","23,37","23,30","23,57","22,79","56,99K","0,30%"
"13.02.2024","23,30","23,62","23,64","23,23","52,16K","-1,10%"
"12.02.2024","23,56","23,95","23,99","23,52","61,80K","-1,92%"
"09.02.2024","24,02","24,00","24,42","23,86","78,50K","0,17%"
"08.02.2024","23,98","23,87","24,05","23,55","76,78K","0,42%"
"07.02.2024","23,88","23,70","24,41","23,64","99,81K","1,36%"
"06.02.2024","23,56","23,52","23,92","23,02","89,58K","0,13%"
"05.02.2024","23,53","23,94","23,99","23,43","52,43K","-1,51%"
"02.02.2024","23,89","23,44","24,02","23,31","60,49K","1,40%"
"01.02.2024","23,56","24,13","24,24","23,45","46,64K","-2,36%"
"31.01.2024","24,13","23,93","24,18","23,77","52,65K","0,92%"
"30.01.2024","23,91","23,42","24,02","23,29","44,69K","1,61%"
"29.01.2024","23,53","23,77","24,30","23,42","50,70K","-1,01%"
"26.01.2024","23,77","24,00","24,33","23,64","51,84K","-1,12%"
"25.01.2024","24,04","24,48","24,62","23,92","64,76K","-1,72%"
"24.01.2024","24,46","23,70","24,54","23,45","78,95K","2,99%"
"23.01.2024","23,75","23,48","23,88","23,25","50,03K","1,06%"
"22.01.2024","23,50","23,56","23,74","23,42","44,23K","-0,30%"
"19.01.2024","23,57","23,10","23,75","23,04","73,23K","2,30%"
"18.01.2024","23,04","22,35","23,20","22,29","46,45K","3,09%"
"17.01.2024","22,35","22,55","22,69","22,21","57,99K","-0,75%"
"16.01.2024","22,52","21,85","22,64","21,85","80,69K","4,21%"
"12.01.2024","21,61","21,89","21,95","21,56","40,90K","-0,69%"
"11.01.2024","21,76","21,41","21,91","21,32","45,45K","1,63%"
"10.01.2024","21,41","21,58","21,94","21,36","49,35K","-1,34%"
"09.01.2024","21,70","21,80","21,96","21,54","49,41K","-0,18%"
"08.01.2024","21,74","21,11","21,79","21,11","49,43K","2,98%"
"05.01.2024","21,11","21,13","21,21","20,60","46,52K","0,14%"
"04.01.2024","21,08","20,98","21,25","20,86","37,42K","1,10%"
"03.01.2024","20,85","20,90","21,40","20,71","49,17K","-0,24%"
"02.01.2024","20,90","20,60","21,38","20,60","57,60K","1,55%"
"29.12.2023","20,58","21,76","21,88","20,33","75,27K","-5,42%"
"28.12.2023","21,76","20,51","21,91","20,46","57,14K","5,63%"
"27.12.2023","20,60","20,57","20,93","20,15","40,46K","0,34%"
"26.12.2023","20,53","20,60","20,77","20,03","25,15K","-0,44%"
"22.12.2023","20,62","20,38","21,08","20,23","49,11K","1,88%"
"21.12.2023","20,24","20,80","20,83","20,12","76,31K","-3,25%"
"20.12.2023","20,92","21,39","21,67","20,81","63,06K","-2,38%"
"19.12.2023","21,43","21,40","21,62","20,85","69,50K","0,56%"
"18.12.2023","21,31","21,98","21,99","21,25","60,93K","-3,09%"
"15.12.2023","21,99","22,30","22,59","21,75","64,32K","-0,86%"
"14.12.2023","22,18","21,97","22,31","21,16","91,83K","0,96%"
"13.12.2023","21,97","22,56","23,12","21,82","80,63K","-2,74%"
"12.12.2023","22,59","22,47","22,66","21,48","113,86K","0,53%"
"11.12.2023","22,47","23,44","23,49","22,17","92,34K","-3,81%"
"08.12.2023","23,36","23,10","23,60","23,10","88,28K","1,43%"
"07.12.2023","23,03","23,39","23,93","22,80","132,48K","0,13%"
"06.12.2023","23,00","24,92","24,92","22,94","177,20K","-7,85%"
"05.12.2023","24,96","25,90","25,90","24,81","107,29K","-3,29%"
"04.12.2023","25,81","25,06","25,98","24,58","122,66K","2,87%"
"01.12.2023","25,09","26,15","26,17","24,95","170,63K","-3,65%"
"30.11.2023","26,04","26,83","26,85","25,90","134,69K","-3,05%"
"29.11.2023","26,86","27,04","27,12","26,80","43,73K","-0,48%"
"28.11.2023","26,99","27,17","27,25","26,80","62,40K","-0,77%"
"27.11.2023","27,20","26,98","27,30","26,80","56,59K","0,82%"
"24.11.2023","26,98","27,28","27,38","26,81","74,88K","-0,88%"
"22.11.2023","27,22","27,77","27,77","27,16","52,66K","-1,91%"
"21.11.2023","27,75","27,64","27,78","27,48","41,57K","0,69%"
"20.11.2023","27,56","27,23","27,60","27,07","46,56K","1,40%"
"17.11.2023","27,18","27,15","27,32","27,00","43,65K","-0,04%"
"16.11.2023","27,19","27,10","27,42","27,01","44,64K","0,15%"
"15.11.2023","27,15","27,20","27,37","27,02","56,04K","-0,11%"
"14.11.2023","27,18","27,71","27,81","27,13","51,00K","-1,91%"
"13.11.2023","27,71","27,30","27,75","27,16","42,98K","1,54%"
"10.11.2023","27,29","27,75","27,87","27,20","53,88K","-1,76%"
"09.11.2023","27,78","27,25","27,92","27,20","47,43K","2,09%"
"08.11.2023","27,21","27,57","27,58","27,18","51,59K","-1,38%"
"07.11.2023","27,59","27,92","28,14","27,52","51,53K","-1,29%"
"06.11.2023","27,95","27,65","28,08","27,59","62,35K","0,65%"
"03.11.2023","27,77","27,56","27,83","27,33","41,66K","1,06%"
"02.11.2023","27,48","27,56","27,72","27,10","47,92K","-0,11%"
"01.11.2023","27,51","27,16","27,69","27,13","68,46K","1,55%"
"31.10.2023","27,09","26,83","27,15","26,69","46,93K","1,27%"
"30.10.2023","26,75","27,50","27,53","26,65","58,59K","-2,16%"
"27.10.2023","27,34","27,04","27,50","27,00","38,34K","1,11%"
"26.10.2023","27,04","27,67","27,79","27,00","48,25K","-2,14%"
"25.10.2023","27,63","27,60","28,00","27,28","59,26K","0,36%"
"24.10.2023","27,53","27,55","27,75","27,32","46,23K","0,18%"
"23.10.2023","27,48","26,85","27,58","26,49","63,72K","2,35%"
"20.10.2023","26,85","27,24","27,25","26,80","39,02K","-1,61%"
"19.10.2023","27,29","27,36","27,41","26,85","49,70K","-0,69%"
"18.10.2023","27,48","27,56","27,67","27,17","50,47K","-0,04%"
"17.10.2023","27,49","26,99","27,57","26,96","59,31K","1,63%"
"16.10.2023","27,05","27,09","27,10","26,80","37,08K","0,07%"
"13.10.2023","27,03","26,44","27,18","26,35","50,94K","2,58%"
"12.10.2023","26,35","26,40","26,75","26,25","52,58K","-0,19%"
"11.10.2023","26,40","27,05","27,18","26,30","53,30K","-2,40%"
"10.10.2023","27,05","27,17","27,24","26,78","52,75K","-0,48%"
"09.10.2023","27,18","26,86","27,28","26,68","56,09K","1,65%"
"06.10.2023","26,74","26,30","26,83","26,13","54,08K","2,22%"
"05.10.2023","26,16","25,93","26,41","25,77","45,11K","0,89%"
"04.10.2023","25,93","25,67","26,27","25,28","82,69K","1,01%"
"03.10.2023","25,67","26,33","26,44","25,59","78,87K","-2,58%"
"02.10.2023","26,35","26,54","26,79","26,25","50,26K","0,30%"
"29.09.2023","26,27","26,77","26,80","26,20","3,00K","-1,72%"
"28.09.2023","26,73","26,24","26,85","25,95","19,29K","2,30%"
"27.09.2023","26,13","26,14","26,41","25,96","41,17K","0,42%"
"26.09.2023","26,02","26,25","26,50","25,97","42,57K","-1,10%"
"25.09.2023","26,31","27,00","27,02","26,23","47,19K","-2,45%"
"22.09.2023","26,97","26,90","27,27","26,71","46,17K","0,15%"
"21.09.2023","26,93","26,78","26,99","26,56","49,01K","0,52%"
"20.09.2023","26,79","27,28","27,32","26,66","45,12K","-2,37%"
"19.09.2023","27,44","27,10","27,62","27,02","36,01K","1,22%"
"18.09.2023","27,11","26,83","27,26","26,45","76,04K","0,74%"
"15.09.2023","26,91","26,93","27,59","26,76","115,60K","-0,26%"
"14.09.2023","26,98","26,70","27,14","26,61","77,13K","1,66%"
"13.09.2023","26,54","26,75","26,90","26,44","77,02K","-1,08%"
"12.09.2023","26,83","26,36","27,26","26,09","117,35K","1,63%"
"11.09.2023","26,40","26,34","26,49","25,96","105,05K","0,34%"
"08.09.2023","26,31","26,87","27,10","26,11","97,52K","-1,39%"
"07.09.2023","26,68","26,21","26,89","25,94","70,27K","1,75%"
"06.09.2023","26,22","26,56","26,90","25,99","72,50K","-1,61%"
"05.09.2023","26,65","25,82","26,94","25,66","108,19K","3,25%"
"01.09.2023","25,81","25,11","25,87","25,05","80,46K","2,99%"
"31.08.2023","25,06","25,31","25,63","25,02","62,12K","-1,10%"
"30.08.2023","25,34","25,39","25,90","25,23","75,24K","-0,43%"
"29.08.2023","25,45","25,53","25,68","25,22","68,78K","-0,47%"
"28.08.2023","25,57","24,90","25,64","24,78","75,56K","2,98%"
"25.08.2023","24,83","24,29","24,89","24,10","68,31K","2,22%"
"24.08.2023","24,29","23,99","24,37","23,64","74,32K","1,84%"
"23.08.2023","23,85","23,34","24,23","23,08","111,44K","1,92%"
"22.08.2023","23,40","23,48","23,71","23,31","54,25K","0,00%"
"21.08.2023","23,40","23,80","24,16","23,38","64,62K","-1,52%"
"18.08.2023","23,76","24,00","24,03","23,67","57,34K","-1,00%"
"17.08.2023","24,00","24,25","24,74","23,94","81,31K","-0,79%"
"16.08.2023","24,19","23,77","24,30","23,63","48,30K","1,77%"
"15.08.2023","23,77","24,03","24,28","23,70","49,61K","-1,16%"
"14.08.2023","24,05","24,30","24,41","23,93","36,15K","-1,15%"
"11.08.2023","24,33","23,99","24,42","23,72","44,29K","1,59%"
"10.08.2023","23,95","23,85","24,20","23,66","51,28K","1,01%"
"09.08.2023","23,71","23,65","23,80","23,47","37,32K","1,11%"
"08.08.2023","23,45","23,70","23,71","23,29","50,47K","-1,22%"
"07.08.2023","23,74","23,69","24,03","23,40","41,51K","0,21%"
"04.08.2023","23,69","24,07","24,11","23,57","34,42K","-1,37%"
"03.08.2023","24,02","24,21","24,42","23,71","50,79K","-0,74%"
"02.08.2023","24,20","24,39","24,61","24,09","36,85K","-0,78%"
"01.08.2023","24,39","24,11","24,57","23,99","49,56K","1,16%"
"31.07.2023","24,11","23,95","24,19","23,84","45,36K","0,79%"
"28.07.2023","23,92","24,40","24,43","23,87","43,77K","-2,09%"
"27.07.2023","24,43","24,42","24,58","24,02","43,47K","0,16%"
"26.07.2023","24,39","24,65","24,81","24,15","52,60K","-1,22%"
"25.07.2023","24,69","24,88","24,88","24,54","46,62K","-0,92%"
"24.07.2023","24,92","25,00","25,30","24,84","58,54K","-0,36%"
"21.07.2023","25,01","24,55","25,10","24,34","54,88K","1,38%"
"20.07.2023","24,67","24,30","24,70","24,16","53,03K","1,90%"
"19.07.2023","24,21","23,86","24,37","23,70","49,31K","1,47%"
"18.07.2023","23,86","23,71","24,06","23,59","37,33K","0,25%"
"17.07.2023","23,80","24,36","24,39","23,64","49,93K","-2,14%"
"14.07.2023","24,32","24,08","24,40","24,01","44,33K","1,29%"
"13.07.2023","24,01","23,91","24,25","23,76","46,16K","0,42%"
"12.07.2023","23,91","23,53","24,00","23,31","53,44K","1,61%"
"11.07.2023","23,53","23,47","23,71","23,16","46,70K","0,38%"
"10.07.2023","23,44","23,48","23,50","23,20","41,26K","-0,38%"
"07.07.2023","23,53","23,15","23,83","23,11","43,78K","1,20%"
"06.07.2023","23,25","23,50","23,58","23,20","49,49K","-1,19%"
"05.07.2023","23,53","23,40","23,72","23,06","62,18K","0,90%"
"03.07.2023","23,32","22,87","23,61","22,78","65,33K","1,88%"
"30.06.2023","22,89","22,30","22,96","22,28","2,25K","3,72%"
